Genre:IMAX,Genre:Musical,Genre:Thriller,Genre:Comedy,Genre:Western,Genre:Drama,Genre:Adventure,Genre:Mystery,Genre:Fantasy,Genre:Action,Genre:Crime,Genre:Animation,Genre:Horror,Genre:Documentary,Genre:Sci-Fi,Genre:Romance,Genre:War,Genre:(no genres listed),Genre:Children,Genre:Film-Noir,Cluster,Size
0,0,0,0,0,5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5439
0,0,0,4099,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4099
0,0,0,0,0,67,0,0,0,0,0,0,0,3323,0,0,0,0,0,0,9,3323
0,0,0,0,0,112,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,10,1394
0,0,0,1380,0,529,0,0,0,0,0,0,0,0,0,1380,0,0,0,0,0,1380
0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,4,1328
0,0,942,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,942
0,0,763,0,0,136,0,0,0,0,0,0,763,0,0,0,0,0,0,0,29,763
0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,386,0,0,0,13,386
0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,374
0,0,362,0,0,236,0,0,0,0,362,0,0,0,0,0,0,0,0,0,20,362
0,0,0,0,0,135,0,0,0,320,0,0,0,0,0,0,0,0,0,0,16,320
0,0,0,0,261,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,261
0,0,256,0,0,80,0,0,0,256,0,0,0,0,0,0,0,0,0,0,22,256
0,0,241,0,0,95,0,0,0,241,241,0,0,0,0,0,0,0,0,0,2,241
0,0,0,0,0,46,0,0,0,0,0,0,0,0,238,0,0,0,0,0,26,238
0,0,0,0,0,141,0,0,0,0,180,0,0,0,0,0,0,0,0,0,15,180
0,0,0,0,0,10,0,0,0,0,0,0,175,0,175,0,0,0,0,0,11,175
0,0,0,160,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,160
0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,151
0,0,0,0,0,47,0,0,0,149,0,0,0,0,0,0,0,0,0,0,7,149
0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,136,0,0,0,0,19,136
0,0,0,0,0,66,0,0,0,125,125,0,0,0,0,0,0,0,0,0,30,125
0,0,0,0,0,83,0,0,0,122,0,0,0,0,0,0,122,0,0,0,21,122
0,0,0,0,0,6,0,0,0,0,0,118,0,0,0,0,0,0,118,0,14,118
0,0,118,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,118
0,0,0,0,0,12,0,0,0,99,0,0,0,0,99,0,0,0,0,0,32,99
0,0,0,0,0,9,0,0,0,0,0,0,0,92,0,0,0,0,0,0,36,92
0,0,0,89,0,3,0,0,0,0,0,0,89,0,0,0,0,0,0,0,37,89
0,0,0,88,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,88
0,0,75,0,0,46,0,75,0,0,75,0,0,0,0,0,0,0,0,0,39,75
0,0,0,73,0,35,0,0,0,0,0,0,0,0,0,73,0,0,0,0,35,73
0,0,0,0,0,9,70,0,70,70,0,0,0,0,0,0,0,0,0,0,25,70
0,0,0,69,0,7,0,0,0,69,0,0,0,0,0,0,0,0,0,0,33,69
0,0,0,0,0,26,0,0,0,69,0,0,0,0,0,0,0,0,0,0,28,69
0,0,0,0,0,5,63,0,0,63,0,0,0,0,63,0,0,0,0,0,34,63
0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,62,0,5,62
0,0,0,62,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62
0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,54,0,0,0,0,38,54
0,0,0,52,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,52
0,0,0,50,0,23,0,0,0,0,0,0,0,0,0,50,0,0,0,0,40,50
0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,40,0,0,0,0,41,40
0,0,0,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34
