Model,RMSE,Acc (±1),Precision@10,Best Params
SVD,0.8720626162119121,75.71809919916818,0.9258313403266164,"{'n_factors': 150, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}"
KNNBasic,0.914429163207462,73.9829635776487,0.9231295335969628,"{'k': 40, 'sim_options': {'name': 'msd', 'user_based': False}}"
NMF,0.8980740186799576,74.05994741104368,0.9193005927715028,"{'n_factors': 10, 'n_epochs': 100}"
CoClustering,0.9100221578451648,74.4523650033493,0.9192342907658672,"{'n_cltr_u': 5, 'n_cltr_i': 3, 'n_epochs': 30}"
